n,caso,k,p,disponibilidade_analitica,disponibilidade_experimental,erro_absoluto
16,k = n/2,8,0.4,0.2839366472826881,0.28469,0.000753352717311917
16,k = n/2,8,0.45,0.43710066025091177,0.43625,0.0008506602509117389
16,k = n/2,8,0.5,0.5981903076171875,0.59523,0.002960307617187463
16,k = n/2,8,0.55,0.744108510545099,0.7454,0.0012914894549009848
16,k = n/2,8,0.6000000000000001,0.8577302820618241,0.85728,0.00045028206182406993
16,k = n/2,8,0.65,0.9329431095687273,0.93318,0.00023689043127272935
16,k = n/2,8,0.7000000000000001,0.9743264699450276,0.97478,0.0004535300549723953
16,k = n/2,8,0.75,0.9925302795600146,0.99233,0.00020027956001456015
16,k = n/2,8,0.8,0.998524061745152,0.99849,3.40617451519698e-05
16,k = n/2,8,0.8500000000000001,0.9998397900479495,0.9998,3.979004794951724e-05
16,k = n/2,8,0.9,0.9999940756769955,1.0,5.924323004502519e-06
16,k = n/2,8,0.9500000000000001,0.9999999838047902,1.0,1.6195209839864333e-08
16,k = n/2,8,1.0,1.0,1.0,0.0
16,k = n,16,0.0,0.0,0.0,0.0
16,k = n,16,0.05,1.5258789062500013e-21,0.0,1.5258789062500013e-21
16,k = n,16,0.1,1.0000000000000008e-16,0.0,1.0000000000000008e-16
16,k = n,16,0.15000000000000002,6.568408355712906e-14,0.0,6.568408355712906e-14
16,k = n,16,0.2,6.5536000000000055e-12,0.0,6.5536000000000055e-12
16,k = n,16,0.25,2.3283064365386963e-10,0.0,2.3283064365386963e-10
16,k = n,16,0.30000000000000004,4.30467210000001e-09,0.0,4.30467210000001e-09
16,k = n,16,0.35000000000000003,5.070942774902504e-08,0.0,5.070942774902504e-08
16,k = n,16,0.4,4.2949672960000036e-07,0.0,4.2949672960000036e-07
16,k = n,16,0.45,2.8274844190244165e-06,0.0,2.8274844190244165e-06
16,k = n,16,0.5,1.52587890625e-05,0.0,1.52587890625e-05
16,k = n,16,0.55,7.011372354671054e-05,7e-05,1.1372354671054623e-07
16,k = n,16,0.6000000000000001,0.00028211099074560065,0.00029,7.889009254399349e-06
16,k = n,16,0.65,0.0010153451678210146,0.00101,5.345167821014596e-06
16,k = n,16,0.7000000000000001,0.003323293056960105,0.00308,0.00024329305696010536
16,k = n,16,0.75,0.010022595757618546,0.01037,0.00034740424238145426
16,k = n,16,0.8,0.028147497671065624,0.02727,0.0008774976710656246
16,k = n,16,0.8500000000000001,0.07425108623606406,0.0737,0.0005510862360640634
16,k = n,16,0.9,0.18530201888518416,0.1845,0.0008020188851841636
16,k = n,16,0.9500000000000001,0.4401266686517662,0.43947,0.000656668651766168
16,k = n,16,1.0,1.0,1.0,0.0
